C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
9802,98.0,1990.0,2010,20.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9802,98.0,1990.0,2012,22.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9803,98.0,1994.0,2010,16.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
9803,98.0,1994.0,2012,18.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
9901,99.0,1987.0,2002,15.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
9901,99.0,1987.0,2004,17.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
9901,99.0,1987.0,2006,19.0,1,0.0,0.0,Y1941500,physical_fight,True,False
9901,99.0,1987.0,2008,21.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9901,99.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9901,99.0,1987.0,2012,25.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9902,99.0,1993.0,2008,15.0,1,1.0,1.0,Y2256600,hurt_physically,True,False
9902,99.0,1993.0,2010,17.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
9902,99.0,1993.0,2012,19.0,1,0.0,0.0,Y2959200,physical_fight,True,False
10001,100.0,1985.0,2000,15.0,1,0.0,0.0,Y1176200,physical_fight,True,False
10001,100.0,1985.0,2006,21.0,1,0.0,0.0,Y1941500,physical_fight,True,False
10002,100.0,1991.0,2006,15.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
10002,100.0,1991.0,2008,17.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
10002,100.0,1991.0,2010,19.0,1,0.0,0.0,Y2609100,physical_fight,True,False
10003,100.0,1993.0,2008,15.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
10003,100.0,1993.0,2010,17.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
10003,100.0,1993.0,2012,19.0,1,0.0,0.0,Y2959200,physical_fight,True,False
10201,102.0,1992.0,2008,16.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
